,time,accX,accY,accZ,gyrX,gyrY,gyrZ
0,1657038862.4646204,-0.04,0.0,9.8,0.0,-0.002181661564992912,0.0
1,1657038862.4859655,0.02,-0.1,9.700000000000001,0.0,0.0,0.0
2,1657038862.5061524,0.2,-0.14,9.65,0.025089107997418487,-0.01090830782496456,-0.004363323129985824
3,1657038862.5257864,1.72,-1.3900000000000001,9.77,0.008726646259971648,0.06654067773228381,0.10144726277217041
4,1657038862.5470679,-0.16,-1.87,9.92,0.03381575425739013,-0.18762289458939044,0.10035643198967395
5,1657038862.5657537,-0.92,-0.61,9.94,0.001090830782496456,0.055632369907319255,0.0272707695624114
6,1657038862.5840282,0.29,-0.52,9.42,-0.061086523819801536,0.016362461737446838,0.03599741582238305
7,1657038862.604376,0.8200000000000001,-0.76,9.88,-0.003272492347489368,-0.00545415391248228,0.10362892433716332
8,1657038862.6215215,-0.36,-0.44,10.31,0.0272707695624114,-0.001090830782496456,0.12544553998709243
9,1657038862.6430287,0.15,-0.71,10.120000000000001,-0.011999138607461015,0.02399827721492203,0.13199052468207118
10,1657038862.6629415,0.42,-0.73,9.290000000000001,-0.0272707695624114,-0.004363323129985824,0.13744467859455345
11,1657038862.6826403,-0.32,-0.54,10.05,0.02181661564992912,-0.04363323129985824,0.15817046346198613
12,1657038862.703865,0.24,-0.26,9.93,-0.004363323129985824,-0.037088246604879506,0.19744037163185854
13,1657038862.7210116,-0.18,-0.55,9.73,-0.0545415391248228,-0.0272707695624114,0.1559888018969932
14,1657038862.7426605,-0.12,-0.28,9.94,0.011999138607461015,-0.05672320068981571,0.136353847812057
15,1657038862.762561,0.3,-0.43,9.55,-0.013089969389957472,0.009817477042468103,0.15489797111449674
16,1657038862.7821538,0.54,-0.3,10.16,-0.004363323129985824,-0.00545415391248228,0.19525871006686563
17,1657038862.8035898,0.04,-0.41000000000000003,9.0,-0.03381575425739013,-0.04690572364734761,0.1559888018969932
18,1657038862.8206801,-0.18,0.24,10.24,0.03381575425739013,0.002181661564992912,0.11235557059713497
19,1657038862.8424337,0.23,-0.31,10.32,0.07417649320975901,0.016362461737446838,0.09708393964218458
20,1657038862.8622537,0.19,-0.4,9.88,0.04036073895236887,0.0,0.10581058590215622
21,1657038862.8817666,-0.09,0.46,9.83,0.06326818538479445,-0.0818123086872342,0.08617563181722002
22,1657038862.903491,-0.11,-0.14,10.11,0.06981317007977318,-0.08944812416470939,0.04908738521234052
23,1657038862.9200938,-0.05,-0.5,9.73,0.025089107997418487,-0.09053895494720585,0.02181661564992912
24,1657038862.9426837,-0.66,-0.14,9.290000000000001,-0.025089107997418487,-0.06981317007977318,0.009817477042468103
25,1657038862.9638116,-0.34,-0.09,9.65,0.011999138607461015,0.016362461737446838,-0.04036073895236887
26,1657038862.983033,0.1,-0.49,9.78,-0.03490658503988659,0.025089107997418487,-0.05781403147231216
27,1657038863.004152,0.44,0.17,9.86,0.015271630954950384,-0.08944812416470939,-0.06544984694978735
28,1657038863.0213227,0.02,-0.09,9.8,-0.04145156973486533,-0.09599310885968812,-0.07417649320975901
29,1657038863.0429585,-0.46,-0.53,9.32,-0.001090830782496456,-0.10144726277217041,-0.04799655442984406
30,1657038863.0628324,-0.65,-0.05,10.43,0.032724923474893676,-0.09490227807719166,-0.10035643198967395
31,1657038863.0829697,-0.33,-0.03,9.77,-0.007635815477475192,0.02181661564992912,-0.136353847812057
32,1657038863.1041923,0.67,-0.46,9.950000000000001,0.044724062082354694,0.003272492347489368,-0.15489797111449674
33,1657038863.1213439,-0.3,-0.36,10.15,0.01090830782496456,0.05999569303730508,-0.20507618710933373
34,1657038863.1431465,0.06,0.05,10.13,0.015271630954950384,0.04690572364734761,-0.19634954084936207
