,accX,accY,accZ,gyrX,gyrY,gyrZ
0,-0.04,0.0,9.8,0.0,-0.0021816615649929,0.0
1,0.02,-0.1,9.7,0.0,0.0,0.0
2,0.2,-0.14,9.65,0.0250891079974184,-0.0109083078249645,-0.0043633231299858
3,-0.92,-0.61,9.94,0.0010908307824964,0.0556323699073192,0.0272707695624114
4,0.29,-0.52,9.42,-0.0610865238198015,0.0163624617374468,0.035997415822383
5,0.8200000000000001,-0.76,9.88,-0.0032724923474893,-0.0054541539124822,0.1036289243371633
6,-0.36,-0.44,10.31,0.0272707695624114,-0.0010908307824964,0.1254455399870924
7,0.15,-0.71,10.12,-0.011999138607461,0.023998277214922,0.1319905246820711
8,0.42,-0.73,9.29,-0.0272707695624114,-0.0043633231299858,0.1374446785945534
9,-0.32,-0.54,10.05,0.0218166156499291,-0.0436332312998582,0.1581704634619861
10,0.24,-0.26,9.93,-0.0043633231299858,-0.0370882466048795,0.1974403716318585
11,-0.18,-0.55,9.73,-0.0545415391248228,-0.0272707695624114,0.1559888018969932
12,-0.12,-0.28,9.94,0.011999138607461,-0.0567232006898157,0.136353847812057
13,0.3,-0.43,9.55,-0.0130899693899574,0.0098174770424681,0.1548979711144967
14,0.54,-0.3,10.16,-0.0043633231299858,-0.0054541539124822,0.1952587100668656
15,0.04,-0.41,9.0,-0.0338157542573901,-0.0469057236473476,0.1559888018969932
16,-0.18,0.24,10.24,0.0338157542573901,0.0021816615649929,0.1123555705971349
17,0.23,-0.31,10.32,0.074176493209759,0.0163624617374468,0.0970839396421845
18,0.19,-0.4,9.88,0.0403607389523688,0.0,0.1058105859021562
19,-0.09,0.46,9.83,0.0632681853847944,-0.0818123086872342,0.08617563181722
20,-0.11,-0.14,10.11,0.0698131700797731,-0.0894481241647093,0.0490873852123405
21,-0.05,-0.5,9.73,0.0250891079974184,-0.0905389549472058,0.0218166156499291
22,-0.66,-0.14,9.29,-0.0250891079974184,-0.0698131700797731,0.0098174770424681
23,-0.34,-0.09,9.65,0.011999138607461,0.0163624617374468,-0.0403607389523688
24,0.1,-0.49,9.78,-0.0349065850398865,0.0250891079974184,-0.0578140314723121
25,0.44,0.17,9.86,0.0152716309549503,-0.0894481241647093,-0.0654498469497873
26,0.02,-0.09,9.8,-0.0414515697348653,-0.0959931088596881,-0.074176493209759
27,-0.46,-0.53,9.32,-0.0010908307824964,-0.1014472627721704,-0.047996554429844
28,-0.65,-0.05,10.43,0.0327249234748936,-0.0949022780771916,-0.1003564319896739
29,-0.33,-0.03,9.77,-0.0076358154774751,0.0218166156499291,-0.136353847812057
30,0.67,-0.46,9.95,0.0447240620823546,0.0032724923474893,-0.1548979711144967
31,-0.3,-0.36,10.15,0.0109083078249645,0.059995693037305,-0.2050761871093337
32,0.06,0.05,10.13,0.0152716309549503,0.0469057236473476,-0.196349540849362
33,0.16,0.4,9.68,-0.0218166156499291,0.0458148928648511,-0.2236203104117734
34,0.27,-0.01,9.68,0.0294524311274043,0.0578140314723121,-0.2247111411942699
35,-0.27,0.17,9.99,0.0130899693899574,0.0534507083423263,-0.1996220331968514
36,0.11,0.14,10.32,0.0163624617374468,0.0283616003449078,-0.2367102798017309
37,-0.26,-0.41,10.23,-0.0043633231299858,0.0272707695624114,-0.2236203104117734
38,-0.32,0.37,10.22,0.023998277214922,0.1178097245096172,-0.1472621556370215
39,0.68,0.25,9.84,-0.0065449846949787,0.0512690467773334,-0.1156280629446243
40,-0.73,0.01,10.6,0.0501782159948369,0.0589048622548086,-0.1461713248545251
41,0.49,-0.03,9.16,-0.0425424005173617,0.0141808001724539,-0.0687223392972767
42,0.5,0.13,9.5,0.0032724923474893,-0.0381790773873759,-0.0567232006898157
43,-0.08,-0.08,9.69,0.0327249234748936,-0.0174532925199432,-0.0196349540849362
44,-0.21,-0.16,10.29,0.0087266462599716,0.0589048622548086,-0.0349065850398865
45,0.47,0.18,9.72,-0.0370882466048795,0.0643590161672909,-0.0327249234748936
46,-0.19,0.18,9.98,-0.0065449846949787,0.0174532925199432,-0.0283616003449078
47,-0.21,-0.02,9.76,-0.0556323699073192,0.0294524311274043,-0.0327249234748936
48,0.0,-0.09,9.46,0.0065449846949787,0.0392699081698724,-0.0076358154774751
49,0.34,0.28,10.63,0.0425424005173617,0.059995693037305,0.0065449846949787
50,0.06,0.47,10.28,-0.011999138607461,0.0229074464324255,-0.023998277214922
51,-0.04,0.0,9.61,-0.0338157542573901,-0.0207257848674326,-0.0152716309549503
52,-0.23,-0.08,9.77,-0.0447240620823546,0.0065449846949787,-0.0098174770424681
53,-0.03,-0.05,9.7,-0.0490873852123405,0.0392699081698724,-0.0032724923474893
54,-0.01,0.08,9.74,-0.0632681853847944,0.0218166156499291,0.0043633231299858
55,-0.17,0.45,9.98,-0.0130899693899574,0.0065449846949787,0.0218166156499291
56,-0.07,-0.13,9.59,-0.0196349540849362,0.0261799387799149,0.0152716309549503
57,-0.37,-0.04,9.67,0.0250891079974184,0.0032724923474893,-0.0098174770424681
58,-0.36,0.27,10.19,-0.0207257848674326,-0.0261799387799149,-0.0109083078249645
59,0.06,-0.5,10.36,0.0381790773873759,-0.0054541539124822,0.0054541539124822
60,0.15,0.06,9.67,-0.0152716309549503,-0.1178097245096172,0.0327249234748936
61,-0.59,0.32,10.25,-0.0076358154774751,-0.0512690467773334,-0.0196349540849362
62,-0.01,-0.3,9.8,0.0054541539124822,-0.0043633231299858,-0.0403607389523688
63,0.29,-0.09,9.37,0.0087266462599716,-0.0512690467773334,-0.0098174770424681
64,-0.13,-0.07,9.64,0.0414515697348653,-0.0501782159948369,-0.0109083078249645
65,0.12,-0.02,9.59,0.0938114472946952,-0.0807214779047377,0.0250891079974184
66,0.12,0.03,9.42,0.0698131700797731,-0.0785398163397448,0.0305432619099007
67,0.13,0.21,10.32,0.0556323699073192,-0.0436332312998582,0.0010908307824964
68,0.32,-0.15,9.65,0.0218166156499291,0.0294524311274043,-0.0087266462599716
69,0.28,0.08,9.93,-0.0381790773873759,0.0283616003449078,0.0403607389523688
70,0.21,-0.24,9.39,-0.0141808001724539,0.0043633231299858,0.0469057236473476
71,0.34,-0.4,9.98,-0.0272707695624114,-0.0272707695624114,0.0490873852123405
72,-0.47,0.18,9.54,0.0174532925199432,-0.1036289243371633,0.0414515697348653
