,Unnamed: 0,time,accX,accY,accZ,gyrX,gyrY,gyrZ,y,x
39,39,0.7784898281097412,-0.26,-0.41,10.23,-0.0043633231299858,0.0272707695624114,-0.2236203104117734,-0.13044546950032698,0.0119889606840358
40,40,0.7982790470123291,-0.32,0.37,10.22,0.023998277214922,0.1178097245096172,-0.1472621556370215,-0.13470041817108222,0.012813424087185318
41,41,0.8181853294372559,0.68,0.25,9.84,-0.0065449846949787,0.0512690467773334,-0.1156280629446243,-0.13899283114204386,0.013627151930146193
42,42,0.8395776748657227,-0.73,0.01,10.6,0.0501782159948369,0.0589048622548086,-0.1461713248545251,-0.14361983159605193,0.014484415143102156
43,43,0.8565964698791504,0.49,-0.03,9.16,-0.0425424005173617,0.0141808001724539,-0.0687223392972767,-0.14731166297305034,0.015153852251662658
44,44,0.8778941631317139,0.5,0.13,9.5,0.0032724923474893,-0.0381790773873759,-0.0567232006898157,-0.15194564597438526,0.01597613765230415
45,45,0.8979682922363281,-0.08,-0.08,9.69,0.0327249234748936,-0.0174532925199432,-0.0196349540849362,-0.15632809264471262,0.016735664856272786
46,46,0.9176943302154541,-0.21,-0.16,10.29,0.0087266462599716,0.0589048622548086,-0.0349065850398865,-0.16064894415506878,0.017467569395173244
47,47,0.9394481182098389,0.47,0.18,9.72,-0.0370882466048795,0.0643590161672909,-0.0327249234748936,-0.16543111302376512,0.018258351123756247
48,48,0.9592893123626709,-0.19,0.18,9.98,-0.0065449846949787,0.0174532925199432,-0.0283616003449078,-0.1698090726547792,0.01896487360466622
49,49,0.979804277420044,-0.21,-0.02,9.76,-0.0556323699073192,0.0294524311274043,-0.0327249234748936,-0.17435254026632463,0.019680840476450565
50,50,0.999948263168335,0.0,-0.09,9.46,0.0065449846949787,0.0392699081698724,-0.0076358154774751,-0.1788310181913309,0.020369692357141027
51,51,1.0193188190460205,0.34,0.28,10.63,0.0425424005173617,0.059995693037305,0.0065449846949787,-0.183154042869691,0.021019062980338198
52,52,1.0402050018310547,0.06,0.47,10.28,-0.011999138607461,0.0229074464324255,-0.023998277214922,-0.18783390639361702,0.021705156049137087
53,53,1.057065725326538,-0.04,0.0,9.61,-0.0338157542573901,-0.0207257848674326,-0.0152716309549503,-0.1916261825207802,0.022248517768417374
